Call Type, Term Length, Run #1, Run #2, Run #3, Run #4, Run #5, Average Time
Iterative, 10, 3100, 400, 300, 300, 299, 879
Iterative, 20, 1600, 500, 500, 401, 500, 700
Iterative, 30, 1100, 700, 599, 600, 701, 740
Iterative, 40, 1300, 900, 900, 900, 800, 960
Iterative, 50, 1501, 1000, 1000, 1000, 999, 1100
Recursive, 10, 8100, 6300, 31700, 15900, 20399, 16479
Recursive, 20, 93100, 78700, 77699, 77701, 77200, 80880
Recursive, 30, 5583200, 4143200, 3747601, 3736400, 4003699, 4242820
Recursive, 40, 473670501, 483178199, 438209800, 441196599, 439313099, 455113639
Recursive, 50, 56855363901, 56178132300, 55503143400, 55417022999, 55614584800, 55913649480
